Open,High,Low,Close,Adj Close,Volume,Days_Since_Start
0.01025,0.010385,0.009048,0.009048,0.009048,11415316,1840
0.009058,0.009161,0.008826,0.009096,0.009096,6529321,1841
0.009096,0.009884,0.00898,0.009869,0.009869,6446905,1842
0.009872,0.010153,0.009637,0.009681,0.009681,5424194,1843
0.009682,0.010159,0.009682,0.009992,0.009992,4855882,1844
0.009992,0.01008,0.00964,0.009649,0.009649,4829313,1845
0.00965,0.01001,0.009433,0.009967,0.009967,4703420,1846
0.009967,0.01001,0.009245,0.00941,0.00941,5833696,1847
0.009409,0.009913,0.00935,0.009895,0.009895,5653299,1848
0.009892,0.0099,0.00941,0.009508,0.009508,4293874,1849
0.009514,0.009596,0.009394,0.009494,0.009494,2936914,1850
0.009489,0.009741,0.009439,0.009622,0.009622,3434259,1851
0.009627,0.009716,0.009189,0.009322,0.009322,4183743,1852
0.009322,0.009397,0.009134,0.009388,0.009388,3578868,1853
0.009387,0.009753,0.009379,0.009692,0.009692,4412330,1854
0.009692,0.009793,0.00938,0.009462,0.009462,4415860,1855
0.009461,0.00969,0.0094,0.009614,0.009614,3596222,1856
0.009615,0.010026,0.009591,0.009935,0.009935,5839660,1857
0.009937,0.010049,0.009399,0.009441,0.009441,5201492,1858
0.009441,0.009595,0.009224,0.009536,0.009536,4912834,1859
0.009536,0.009764,0.009456,0.009747,0.009747,4893012,1860
0.009747,0.009882,0.009519,0.009641,0.009641,4828943,1861
0.009642,0.009642,0.009446,0.009517,0.009517,4536892,1862
0.00952,0.00953,0.009315,0.009361,0.009361,3564706,1863
0.009361,0.009489,0.009324,0.009412,0.009412,2684875,1864
0.009417,0.009655,0.009324,0.009613,0.009613,3201212,1865
0.009613,0.009963,0.009582,0.00987,0.00987,5058768,1866
0.009868,0.009936,0.009644,0.009672,0.009672,5235389,1867
0.009672,0.009696,0.009344,0.009507,0.009507,4971491,1868
0.009578,0.00984,0.00948,0.009836,0.009836,4986966,1869
0.009838,0.010236,0.009765,0.010147,0.010147,6881408,1870
0.010146,0.010218,0.009978,0.010129,0.010129,4862733,1871
0.010128,0.0105,0.009976,0.010392,0.010392,6562871,1872
0.010392,0.010414,0.009997,0.010329,0.010329,6838404,1873
0.010331,0.010677,0.010223,0.010672,0.010672,6078826,1874
0.010677,0.010678,0.009744,0.00985,0.00985,6106758,1875
0.00985,0.009955,0.009508,0.009527,0.009527,4553196,1876
0.009526,0.009831,0.009322,0.009371,0.009371,4544521,1877
0.009373,0.009482,0.009293,0.009477,0.009477,2910981,1878
0.009478,0.00948,0.009096,0.009185,0.009185,3455310,1879
0.009185,0.009325,0.009103,0.00917,0.00917,4796455,1880
